Time,c2_system.prob,c2_system.cases,c2_system.C_dot,c2_system.Level,c2_system.state_level,c2_system.total,c2_system.D
10.400000,1.000000,645.359231,35.980692,3.000000,0.000000,733.824723,1.327078
10.500000,1.000000,644.641122,35.625140,3.000000,0.000000,737.405005,1.391578
10.600000,1.000000,643.760873,35.291489,3.000000,0.000000,740.950825,1.457993
10.700000,1.000000,642.721219,34.978713,3.000000,0.000000,744.464322,1.526314
10.800000,1.000000,641.525014,34.685815,3.000000,0.000000,747.947533,1.596529
10.900000,1.000000,640.175227,34.411820,3.000000,0.000000,751.402399,1.668622
11.000000,1.000000,638.674943,34.155777,3.000000,0.000000,754.830761,1.742574
11.100000,1.000000,637.027363,33.916758,3.000000,0.000000,758.234369,1.818363
11.200000,1.000000,635.235802,33.693862,3.000000,0.000000,761.614881,1.895966
11.300000,1.000000,633.303688,33.486208,3.000000,0.000000,764.973865,1.975353
11.400000,1.000000,631.234557,33.292940,3.000000,0.000000,768.312803,2.056494
11.500000,1.000000,629.032052,33.113225,3.000000,0.000000,771.633091,2.139356
11.600000,1.000000,626.699916,32.946253,3.000000,0.000000,774.936046,2.223901
11.700000,1.000000,624.241990,32.791235,3.000000,0.000000,778.222901,2.310092
11.800000,1.000000,621.662207,32.647407,3.000000,0.000000,781.494815,2.397885
11.900000,1.000000,618.964583,32.514027,3.000000,0.000000,784.752869,2.487238
12.000000,1.000000,616.153217,32.390375,3.000000,0.000000,787.998073,2.578103
12.100000,1.000000,613.232278,32.275755,3.000000,0.000000,791.231365,2.670433
12.200000,1.000000,610.206001,32.169490,3.000000,0.000000,794.453613,2.764176
12.300000,1.000000,607.078682,32.070930,3.000000,0.000000,797.665622,2.859281
12.400000,1.000000,603.854664,31.979441,3.000000,0.000000,800.868130,2.955693
12.500000,1.000000,600.538337,31.894417,3.000000,0.000000,804.061814,3.053356
12.600000,1.000000,597.134124,31.815270,3.000000,0.000000,807.247291,3.152215
12.700000,1.000000,593.646474,31.741435,3.000000,0.000000,810.425121,3.252209
12.800000,1.000000,590.079857,31.672367,3.000000,0.000000,813.595809,3.353280
12.900000,1.000000,586.438754,31.607544,3.000000,0.000000,816.759803,3.455367
13.000000,1.000000,582.727645,31.546464,3.000000,0.000000,819.917505,3.558410
13.100000,1.000000,578.951009,31.488645,3.000000,0.000000,823.069264,3.662345
13.200000,1.000000,575.113308,31.433629,3.000000,0.000000,826.215384,3.767111
13.300000,1.000000,571.218984,31.380973,3.000000,0.000000,829.356122,3.872645
13.400000,1.000000,567.272448,31.330259,3.000000,0.000000,832.491695,3.978884
13.500000,1.000000,563.278076,31.281086,3.000000,0.000000,835.622275,4.085766
13.600000,1.000000,559.240198,31.233073,3.000000,0.000000,838.747999,4.193226
13.700000,1.000000,555.163093,31.185858,3.000000,0.000000,841.868964,4.301202
13.800000,1.000000,551.050980,31.139099,3.000000,0.000000,844.985233,4.409633
13.900000,1.000000,546.908016,31.092470,3.000000,0.000000,848.096835,4.518456
14.000000,1.000000,542.738282,31.045666,3.000000,0.000000,851.203768,4.627610
14.100000,1.000000,538.545785,30.998398,3.000000,0.000000,854.306000,4.737034
14.200000,1.000000,534.334447,30.950394,3.000000,0.000000,857.403471,4.846668
14.300000,1.000000,530.108101,30.901402,3.000000,0.000000,860.496094,4.956455
14.400000,1.000000,525.870488,30.851184,3.000000,0.000000,863.583760,5.066335
14.500000,1.000000,521.625249,30.799518,3.000000,0.000000,866.666334,5.176253
14.600000,1.000000,517.375922,30.746199,3.000000,0.000000,869.743661,5.286154
14.700000,1.000000,513.125941,30.691039,3.000000,0.000000,872.815566,5.395982
14.800000,1.000000,508.878627,30.633861,3.000000,0.000000,875.881857,5.505685
14.900000,1.000000,504.637190,30.574507,3.000000,0.000000,878.942324,5.615213
15.000000,1.000000,500.404723,30.512831,3.000000,0.000000,881.996742,5.724514
15.100000,1.000000,496.184200,30.448700,3.000000,0.000000,885.044871,5.833542
15.200000,1.000000,491.978477,30.381998,3.000000,0.000000,888.086461,5.942249
15.300000,1.000000,487.790285,30.312617,3.000000,0.000000,891.121250,6.050591
15.400000,1.000000,483.622234,30.240466,3.000000,0.000000,894.148963,6.158524
