Time,nz-c1.Ic,nz-c1.C_dot,nz-c1.Level,nz-c1.total_cases,nz-c1.deaths
187,0,0,4,1488.044648,14.880446
188,0,0,4,1488.044648,14.880446
189,0,0,4,1488.044648,14.880446
190,0,0,4,1488.044648,14.880446
191,0,0,4,1488.044648,14.880446
192,0,0,4,1488.044648,14.880446
193,0,0,4,1488.044648,14.880446
194,0,0,4,1488.044648,14.880446
195,0,0,4,1488.044648,14.880446
196,0,0,4,1488.044648,14.880446
197,0,0,4,1488.044648,14.880446
198,0,0,4,1488.044648,14.880446
199,0,0,4,1488.044648,14.880446
200,0,0,4,1488.044648,14.880446
201,0,0,4,1488.044648,14.880446
202,0,0,4,1488.044648,14.880446
203,0,0,4,1488.044648,14.880446
204,0,0,4,1488.044648,14.880446
205,0,0,4,1488.044648,14.880446
206,0,0,4,1488.044648,14.880446
207,0,0,4,1488.044648,14.880446
208,0,0,4,1488.044648,14.880446
209,0,0,4,1488.044648,14.880446
210,0,0,4,1488.044648,14.880446
211,0,0,4,1488.044648,14.880446
212,0,0,4,1488.044648,14.880446
213,0,0,4,1488.044648,14.880446
214,0,0,4,1488.044648,14.880446
215,0,0,4,1488.044648,14.880446
216,0,0,4,1488.044648,14.880446
217,0,0,4,1488.044648,14.880446
218,0,0,4,1488.044648,14.880446
219,0,0,4,1488.044648,14.880446
220,0,0,4,1488.044648,14.880446
221,0,0,4,1488.044648,14.880446
222,0,0,4,1488.044648,14.880446
223,0,0,4,1488.044648,14.880446
224,0,0,4,1488.044648,14.880446
225,0,0,4,1488.044648,14.880446
226,0,0,4,1488.044648,14.880446
227,0,0,4,1488.044648,14.880446
228,0,0,4,1488.044648,14.880446
229,0,0,4,1488.044648,14.880446
230,0,0,4,1488.044648,14.880446
231,0,0,4,1488.044648,14.880446
232,0,0,4,1488.044648,14.880446
233,0,0,4,1488.044648,14.880446
234,0,0,4,1488.044648,14.880446
235,0,0,4,1488.044648,14.880446
236,0,0,4,1488.044648,14.880446
237,0,0,4,1488.044648,14.880446
238,0,0,4,1488.044648,14.880446
239,0,0,4,1488.044648,14.880446
240,0,0,4,1488.044648,14.880446
241,0,0,4,1488.044648,14.880446
242,0,0,4,1488.044648,14.880446
243,0,0,4,1488.044648,14.880446
244,0,0,4,1488.044648,14.880446
245,0,0,4,1488.044648,14.880446
246,0,0,4,1488.044648,14.880446
247,0,0,4,1488.044648,14.880446
248,0,0,4,1488.044648,14.880446
249,0,0,4,1488.044648,14.880446
250,0,0,4,1488.044648,14.880446
251,0,0,4,1488.044648,14.880446
252,0,0,4,1488.044648,14.880446
253,0,0,4,1488.044648,14.880446
254,0,0,4,1488.044648,14.880446
255,0,0,4,1488.044648,14.880446
256,0,0,4,1488.044648,14.880446
257,0,0,4,1488.044648,14.880446
258,0,0,4,1488.044648,14.880446
259,0,0,4,1488.044648,14.880446
260,0,0,4,1488.044648,14.880446
261,0,0,4,1488.044648,14.880446
262,0,0,4,1488.044648,14.880446
263,0,0,4,1488.044648,14.880446
264,0,0,4,1488.044648,14.880446
265,0,0,4,1488.044648,14.880446
266,0,0,4,1488.044648,14.880446
267,0,0,4,1488.044648,14.880446
268,0,0,4,1488.044648,14.880446
269,0,0,4,1488.044648,14.880446
270,0,0,4,1488.044648,14.880446
271,0,0,4,1488.044648,14.880446
272,0,0,4,1488.044648,14.880446
273,0,0,4,1488.044648,14.880446
274,0,0,4,1488.044648,14.880446
275,0,0,4,1488.044648,14.880446
276,0,0,4,1488.044648,14.880446
277,0,0,4,1488.044648,14.880446
278,0,0,4,1488.044648,14.880446
279,0,0,4,1488.044648,14.880446
280,0,0,4,1488.044648,14.880446
281,0,0,4,1488.044648,14.880446
282,0,0,4,1488.044648,14.880446
283,0,0,4,1488.044648,14.880446
284,0,0,4,1488.044648,14.880446
285,0,0,4,1488.044648,14.880446
286,0,0,4,1488.044648,14.880446
287,0,0,4,1488.044648,14.880446
288,0,0,4,1488.044648,14.880446
289,0,0,4,1488.044648,14.880446
290,0,0,4,1488.044648,14.880446
291,0,0,4,1488.044648,14.880446
292,0,0,4,1488.044648,14.880446
293,0,0,4,1488.044648,14.880446
294,0,0,4,1488.044648,14.880446
295,0,0,4,1488.044648,14.880446
296,0,0,4,1488.044648,14.880446
297,0,0,4,1488.044648,14.880446
298,0,0,4,1488.044648,14.880446
299,0,0,4,1488.044648,14.880446
300,0,0,4,1488.044648,14.880446
301,0,0,4,1488.044648,14.880446
302,0,0,4,1488.044648,14.880446
303,0,0,4,1488.044648,14.880446
304,0,0,4,1488.044648,14.880446
305,0,0,4,1488.044648,14.880446
306,0,0,4,1488.044648,14.880446
307,0,0,4,1488.044648,14.880446
308,0,0,4,1488.044648,14.880446
309,0,0,4,1488.044648,14.880446
310,0,0,4,1488.044648,14.880446
311,0,0,4,1488.044648,14.880446
312,0,0,4,1488.044648,14.880446
313,0,0,4,1488.044648,14.880446
314,0,0,4,1488.044648,14.880446
315,0,0,4,1488.044648,14.880446
316,0,0,4,1488.044648,14.880446
317,0,0,4,1488.044648,14.880446
318,0,0,4,1488.044648,14.880446
319,0,0,4,1488.044648,14.880446
320,0,0,4,1488.044648,14.880446
321,0,0,4,1488.044648,14.880446
322,0,0,4,1488.044648,14.880446
323,0,0,4,1488.044648,14.880446
324,0,0,4,1488.044648,14.880446
325,0,0,4,1488.044648,14.880446
326,0,0,4,1488.044648,14.880446
327,0,0,4,1488.044648,14.880446
328,0,0,4,1488.044648,14.880446
329,0,0,4,1488.044648,14.880446
330,0,0,4,1488.044648,14.880446
331,0,0,4,1488.044648,14.880446
332,0,0,4,1488.044648,14.880446
333,0,0,4,1488.044648,14.880446
334,0,0,4,1488.044648,14.880446
335,0,0,4,1488.044648,14.880446
336,0,0,4,1488.044648,14.880446
337,0,0,4,1488.044648,14.880446
338,0,0,4,1488.044648,14.880446
339,0,0,4,1488.044648,14.880446
340,0,0,4,1488.044648,14.880446
341,0,0,4,1488.044648,14.880446
342,0,0,4,1488.044648,14.880446
343,0,0,4,1488.044648,14.880446
344,0,0,4,1488.044648,14.880446
345,0,0,4,1488.044648,14.880446
346,0,0,4,1488.044648,14.880446
347,0,0,4,1488.044648,14.880446
348,0,0,4,1488.044648,14.880446
349,0,0,4,1488.044648,14.880446
350,0,0,4,1488.044648,14.880446
351,0,0,4,1488.044648,14.880446
352,0,0,4,1488.044648,14.880446
353,0,0,4,1488.044648,14.880446
354,0,0,4,1488.044648,14.880446
355,0,0,4,1488.044648,14.880446
356,0,0,4,1488.044648,14.880446
357,0,0,4,1488.044648,14.880446
358,0,0,4,1488.044648,14.880446
359,0,0,4,1488.044648,14.880446
360,0,0,4,1488.044648,14.880446
361,0,0,4,1488.044648,14.880446
362,0,0,4,1488.044648,14.880446
363,0,0,4,1488.044648,14.880446
364,0,0,4,1488.044648,14.880446
365,0,0,4,1488.044648,14.880446
366,0,0,4,1488.044648,14.880446
367,0,0,4,1488.044648,14.880446
368,0,0,4,1488.044648,14.880446
369,0,0,4,1488.044648,14.880446
370,0,0,4,1488.044648,14.880446
371,0,0,4,1488.044648,14.880446
372,0,0,4,1488.044648,14.880446
373,0,0,4,1488.044648,14.880446
374,0,0,4,1488.044648,14.880446
375,0,0,4,1488.044648,14.880446
376,0,0,4,1488.044648,14.880446
377,0,0,4,1488.044648,14.880446
378,0,0,4,1488.044648,14.880446
379,0,0,4,1488.044648,14.880446
380,0,0,4,1488.044648,14.880446
381,0,0,4,1488.044648,14.880446
382,0,0,4,1488.044648,14.880446
383,0,0,4,1488.044648,14.880446
384,0,0,4,1488.044648,14.880446
385,0,0,4,1488.044648,14.880446
386,0,0,4,1488.044648,14.880446
387,0,0,4,1488.044648,14.880446
388,0,0,4,1488.044648,14.880446
389,0,0,4,1488.044648,14.880446
390,0,0,4,1488.044648,14.880446
391,0,0,4,1488.044648,14.880446
392,0,0,4,1488.044648,14.880446
393,0,0,4,1488.044648,14.880446
394,0,0,4,1488.044648,14.880446
395,0,0,4,1488.044648,14.880446
396,0,0,4,1488.044648,14.880446
397,0,0,4,1488.044648,14.880446
398,0,0,4,1488.044648,14.880446
399,0,0,4,1488.044648,14.880446
400,0,0,4,1488.044648,14.880446
401,0,0,4,1488.044648,14.880446
402,0,0,4,1488.044648,14.880446
403,0,0,4,1488.044648,14.880446
404,0,0,4,1488.044648,14.880446
405,0,0,4,1488.044648,14.880446
406,0,0,4,1488.044648,14.880446
407,0,0,4,1488.044648,14.880446
408,0,0,4,1488.044648,14.880446
409,0,0,4,1488.044648,14.880446
410,0,0,4,1488.044648,14.880446
411,0,0,4,1488.044648,14.880446
412,0,0,4,1488.044648,14.880446
413,0,0,4,1488.044648,14.880446
414,0,0,4,1488.044648,14.880446
415,0,0,4,1488.044648,14.880446
416,0,0,4,1488.044648,14.880446
417,0,0,4,1488.044648,14.880446
418,0,0,4,1488.044648,14.880446
419,0,0,4,1488.044648,14.880446
420,0,0,4,1488.044648,14.880446
421,0,0,4,1488.044648,14.880446
422,0,0,4,1488.044648,14.880446
423,0,0,4,1488.044648,14.880446
424,0,0,4,1488.044648,14.880446
425,0,0,4,1488.044648,14.880446
426,0,0,4,1488.044648,14.880446
427,0,0,4,1488.044648,14.880446
428,0,0,4,1488.044648,14.880446
429,0,0,4,1488.044648,14.880446
430,0,0,4,1488.044648,14.880446
