Time,nz-c3.C_dot,nz-c3.Level,nz-c3.total_cases,nz-c3.deaths,nz-c3.Iu,nz-c3.Ic
380,2163.470017,4,1589386.609315,26875.353219,21634.700168,27509.273973
381,2075.352573,4,1591505.761391,26923.920675,20753.525732,26393.751329
382,1990.802239,4,1593538.589786,26969.870725,19908.02239,25322.567811
383,1909.677314,4,1595488.590459,27013.306692,19096.773145,24294.068448
384,1831.840725,4,1597359.119953,27054.327847,18318.40725,23306.665944
385,1757.160281,4,1599153.400161,27093.029735,17571.602814,22358.825744
386,1685.508789,4,1600874.523277,27129.504399,16855.087885,21449.057849
387,1616.76404,4,1602525.456797,27163.840526,16167.6404,20575.913127
388,1550.809258,0,1604109.048491,27196.123558,15508.092577,19737.982396
389,1488.945982,0,1605628.33021,27226.437216,14889.459817,18934.195922
390,1448.020372,0,1607093.70094,27254.900229,14480.203717,18171.002921
391,1462.704331,0,1608543.102817,27281.779453,14627.043305,17482.54417
392,1555.024755,0,1610045.263029,27307.516902,15550.247551,16933.888282
393,1720.610748,0,1611677.631173,27332.581875,17206.10748,16598.93841
394,1938.632938,0,1613503.783075,27357.308755,19386.32938,16537.6719
395,2186.310981,0,1615564.467324,27381.859743,21863.109805,16786.6316
396,2447.418452,0,1617880.528695,27406.294451,24474.184519,17360.611004
