Time,nz-c3.C_dot,nz-c3.Level,nz-c3.total_cases,nz-c3.deaths,nz-c3.Iu,nz-c3.Ic
123,3097.06124,0,432097.653293,7125.43935,30970.6124,19761.523527
124,3544.722174,0,435416.383234,7153.485435,35447.221743,21273.405547
125,4016.527898,0,439194.603331,7181.959863,40165.278975,23271.552959
126,4518.206914,0,443458.871782,7211.159906,45182.069142,25757.55124
127,5059.110162,0,448243.560792,7241.610559,50591.101625,28729.65145
128,5649.643955,0,453593.072735,7274.057689,56496.439549,32185.903312
129,6300.069878,0,459562.197524,7309.420922,63000.698783,36127.396773
130,7020.225374,4,466215.773502,7348.723336,70202.253736,40561.798341
131,7817.108481,4,473627.869879,7393.02013,78171.08481,45506.185527
132,8646.72889,4,481861.597464,7443.337803,86467.288903,50969.342154
133,9364.547444,4,490883.13574,7500.619201,93645.474441,56866.69416
134,9831.384274,4,500505.207305,7565.711857,98313.84274,62963.231479
135,10004.450831,4,510446.657118,7639.409752,100044.50831,68931.573649
136,9927.31852,4,520430.277329,7722.501743,99273.185204,74448.222684
137,9680.169164,4,530244.845495,7815.783744,96801.691635,79255.483935
138,9340.539606,4,539760.324654,7920.000973,93405.396063,83179.861848
139,8965.986502,4,548914.892493,8035.706378,89659.865017,86126.545197
140,8592.125447,4,557693.094353,8163.063039,85921.25447,88067.956586
141,8237.395417,4,566106.007142,8301.658938,82373.954166,89033.722749
142,7909.048912,4,574177.089174,8450.410583,79090.48912,89101.721978
143,7608.018801,4,581933.557471,8607.600372,76080.188013,88387.653542
144,7332.164006,4,589401.818902,8771.04133,73321.640064,87031.935992
145,7078.165987,4,596605.437395,8938.320237,70781.659874,85184.939381
146,6842.520585,4,603564.509821,9107.053546,68425.205851,82992.84403
147,6621.999931,4,610295.742981,9275.099949,66219.999306,80586.374441
148,6413.83376,4,616812.83654,9440.69785,64138.3376,78073.717546
149,6215.753221,4,623126.970123,9602.522143,62157.532205,75537.769363
150,6025.970487,4,629247.298043,9759.673717,60259.704871,73036.956322
151,5843.128832,4,635181.40701,9911.624106,58431.288319,70608.439342
152,5666.239342,4,640935.716299,10058.138196,56662.393417,68272.486131
153,5494.612879,4,646515.811717,10199.193268,54946.128794,66037.035014
154,5327.792994,4,651926.711587,10334.906221,53277.929939,63901.809143
155,5165.494064,4,657173.067961,10465.474806,51654.940637,61861.657255
156,5007.547708,4,662259.309893,10591.13428,50075.477083,59909.03756
157,4853.859151,4,667189.738027,10712.128135,48538.591508,58035.712049
158,4704.373911,4,671968.580714,10828.690267,47043.739105,56233.792402
159,4559.054144,4,676600.021737,10941.035664,45590.541438,54496.298615
160,4417.863248,4,681088.208639,11049.356927,44178.632482,52817.379771
161,4280.757017,4,685437.249071,11153.824454,42807.570169,51192.31997
162,4147.679603,4,689651.200845,11254.588652,41476.796029,49617.422473
