Time,nz-c1.S,nz-c1.E,nz-c1.P,nz-c1.Iu,nz-c1.Ic,nz-c1.Ru,nz-c1.Rc,nz-c1.D,nz-c1.cases,nz-c1.Level
97.000000,4819404.516545,0.005944,0.001643,0.005402,0.376300,642.489139,1485.510086,21.494942,1500.891538,4.000000
98.000000,4819404.515671,0.005401,0.001493,0.004909,0.341958,642.489649,1485.545614,21.495306,1500.893084,4.000000
99.000000,4819404.514876,0.004908,0.001357,0.004460,0.310751,642.490112,1485.577900,21.495636,1500.894488,4.000000
100.000000,4819404.514154,0.004460,0.001233,0.004053,0.282391,642.490533,1485.607239,21.495937,1500.895764,4.000000
101.000000,4819404.513498,0.004053,0.001120,0.003683,0.256619,642.490916,1485.633901,21.496210,1500.896923,4.000000
102.000000,4819404.512902,0.003683,0.001018,0.003346,0.233199,642.491263,1485.658130,21.496459,1500.897977,4.000000
103.000000,4819404.512360,0.003346,0.000925,0.003041,0.211917,642.491579,1485.680148,21.496684,1500.898934,4.000000
104.000000,4819404.511868,0.003041,0.000841,0.002763,0.192576,642.491866,1485.700156,21.496889,1500.899804,4.000000
105.000000,4819404.511420,0.002763,0.000764,0.002511,0.175001,642.492127,1485.718338,21.497075,1500.900595,4.000000
106.000000,4819404.511014,0.002511,0.000694,0.002282,0.159030,642.492364,1485.734860,21.497245,1500.901313,4.000000
107.000000,4819404.510644,0.002282,0.000631,0.002073,0.144516,642.492580,1485.749875,21.497399,1500.901966,4.000000
108.000000,4819404.510308,0.002074,0.000573,0.001884,0.131327,642.492776,1485.763520,21.497538,1500.902559,4.000000
109.000000,4819404.510003,0.001884,0.000521,0.001712,0.119342,642.492953,1485.775919,21.497665,1500.903098,4.000000
110.000000,4819404.509726,0.001712,0.000473,0.001556,0.108450,642.493115,1485.787187,21.497781,1500.903588,4.000000
111.000000,4819404.509474,0.001556,0.000430,0.001414,0.098552,642.493262,1485.797426,21.497886,1500.904033,4.000000
112.000000,4819404.509245,0.001414,0.000391,0.001285,0.089558,642.493395,1485.806731,21.497981,1500.904438,4.000000
