Time,covidsim_system.S,covidsim_system.E1,covidsim_system.E2,covidsim_system.P1,covidsim_system.P2,covidsim_system.I1,covidsim_system.I2,covidsim_system.L1,covidsim_system.L2,covidsim_system.R,covidsim_system.D,covidsim_system.prob,covidsim_system.cases,covidsim_system.C_dot
6.100000,4820233.908316,565.744510,475.308228,112.036749,104.130566,517.227054,175.121427,41.179584,7.219416,1.121891,0.002260,0.473363,515.671632,104.130566
6.200000,4820217.478780,568.005370,477.568767,112.710789,104.916162,522.479669,178.550682,42.528367,7.563530,1.195477,0.002408,0.473363,526.120132,104.916162
6.300000,4820200.812019,570.444918,479.831316,113.374429,105.690628,527.757700,181.998204,43.897943,7.917739,1.272543,0.002563,0.473363,536.646691,105.690628
6.400000,4820183.905964,573.060782,482.100216,114.028760,106.454079,533.059791,185.464058,45.288287,8.282149,1.353189,0.002725,0.473363,547.250199,106.454079
6.500000,4820166.758554,575.850643,484.379642,114.674868,107.206728,538.384615,188.948295,46.699376,8.656865,1.437518,0.002895,0.473363,557.929564,107.206728
6.600000,4820149.367732,578.812233,486.673609,115.313838,107.948869,543.730882,192.450952,48.131186,9.041992,1.525634,0.003073,0.473363,568.683719,107.948869
6.700000,4820131.731446,581.943336,488.985980,115.946740,108.680870,549.097349,195.972055,49.583694,9.437631,1.617640,0.003258,0.473363,579.511628,108.680870
6.800000,4820113.847647,585.241787,491.320465,116.574637,109.403168,554.482825,199.511615,51.056878,9.843885,1.713643,0.003451,0.473363,590.412296,109.403168
6.900000,4820095.714291,588.705470,493.680631,117.198575,110.116258,559.886175,203.069632,52.550716,10.260853,1.813747,0.003653,0.473363,601.384776,110.116258
7.000000,4820077.329334,592.332323,496.069903,117.819583,110.820686,565.306330,206.646095,54.065186,10.688633,1.918062,0.003863,0.473363,612.428170,110.820686
7.100000,4820058.690731,596.120333,498.491575,118.438676,111.517047,570.742287,210.240985,55.600266,11.127325,2.026694,0.004082,0.473363,623.541639,111.517047
7.200000,4820039.796439,600.067537,500.948806,119.056844,112.205970,576.193112,213.854270,57.155934,11.577023,2.139754,0.004310,0.473363,634.724404,112.205970
7.300000,4820020.644412,604.172023,503.444632,119.675059,112.888123,581.657947,217.485912,58.732169,12.037824,2.257352,0.004546,0.473363,645.975751,112.888123
7.400000,4820001.232600,608.431928,505.981966,120.294273,113.564199,587.136010,221.135863,60.328947,12.509821,2.379599,0.004793,0.473363,657.295033,113.564199
7.500000,4819981.558952,612.845441,508.563603,120.915413,114.234914,592.626596,224.804070,61.946248,12.993108,2.506607,0.005048,0.473363,668.681677,114.234914
7.600000,4819961.621410,617.410798,511.192225,121.539382,114.901007,598.129079,228.490473,63.584046,13.487776,2.638489,0.005314,0.473363,680.135177,114.901007
7.700000,4819941.417911,622.126287,513.870406,122.167063,115.563227,603.642914,232.195007,65.242321,13.993916,2.775359,0.005590,0.473363,691.655107,115.563227
7.800000,4819920.946383,626.990242,516.600613,122.799312,116.222338,609.167638,235.917602,66.921047,14.511617,2.917332,0.005876,0.473363,703.241112,116.222338
7.900000,4819900.204747,632.001051,519.385212,123.436962,116.879111,614.702866,239.658184,68.620201,15.040968,3.064524,0.006172,0.473363,714.892917,116.879111
8.000000,4819879.190917,637.157147,522.226471,124.080822,117.534321,620.248297,243.416679,70.339758,15.582057,3.217052,0.006479,0.473363,726.610322,117.534321
8.100000,4819857.902794,642.457014,525.126564,124.731676,118.188746,625.803707,247.193007,72.079693,16.134968,3.375033,0.006797,0.473363,738.393206,118.188746
8.200000,4819836.338267,647.899182,528.087574,125.390286,118.843164,631.368955,250.987091,73.839981,16.699788,3.538585,0.007127,0.473363,750.241527,118.843164
8.300000,4819814.495217,653.482233,531.111497,126.057388,119.498349,636.943976,254.798851,75.620594,17.276600,3.707828,0.007468,0.473363,762.155317,119.498349
8.400000,4819792.371509,659.204793,534.200245,126.733694,120.155071,642.528784,258.628208,77.421507,17.865488,3.882881,0.007820,0.473363,774.134688,120.155071
8.500000,4819769.964993,665.065539,537.355649,127.419895,120.814094,648.123469,262.475085,79.242692,18.466532,4.063866,0.008185,0.473363,786.179829,120.814094
8.600000,4819747.273506,671.063195,540.579464,128.116657,121.476173,653.728196,266.339407,81.084121,19.079814,4.250904,0.008562,0.473363,798.291004,121.476173
8.700000,4819724.294869,677.196530,543.873369,128.824625,122.142055,659.343203,270.221100,82.945767,19.705412,4.444118,0.008951,0.473363,810.468552,122.142055
8.800000,4819701.026887,683.464363,547.238971,129.544420,122.812474,664.968799,274.120097,84.827600,20.343407,4.643631,0.009352,0.473363,822.712886,122.812474
